rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
THCA	ZNF484|83744	1	mod6	-0.767332595440461	1.66461801788221e-07	3.60340841518031e-06	0.474798894796088
THCA	ZNF37A|7587	1	mod3	-0.864168160401294	9.05843065966289e-09	8.33375620688986e-07	0.466805245414744
THCA	ZNF689|115509	1	mod6	-0.555736018290185	2.79995220881402e-07	4.95194325014718e-06	0.462247931851541
THCA	ZNF221|7638	1	mod6	-0.68095641398996	3.43851907513005e-07	5.50739978848101e-06	0.457211288146054
THCA	ZNF567|163081	1	mod6	-0.851221069908999	3.44212486780063e-07	5.50739978848101e-06	0.457185478009403
THCA	ZNF641|121274	1	mod6	-0.461954899534785	4.44663141167521e-07	6.54544143798591e-06	0.450844896109219
THCA	ZNF468|90333	1	mod14	-0.732091208473779	8.85402512367961e-07	1.12354525707383e-05	0.449096141532648
THCA	ZNF713|349075	1	mod11	-0.706451326802579	4.12326027970195e-08	1.68595531436702e-06	0.448731157588635
THCA	ZNF496|84838	1	mod7	-0.878491391630313	8.67476051442192e-07	1.12354525707383e-05	0.441664827527636
THCA	ZNF621|285268	1	mod3	-0.950135310590201	3.76854828963912e-08	1.68595531436702e-06	0.437963535105349
THCA	ZNF614|80110	1	mod3	-0.776162922895697	3.92215594479398e-08	1.68595531436702e-06	0.437134184403057
THCA	ZNF619|285267	1	mod6	-0.609193845272619	8.62585744854791e-07	1.12354525707383e-05	0.434110327037169
THCA	ZNF782|158431	1	mod3	-0.817891744991771	4.83192346667498e-08	1.77814783573639e-06	0.432784875704277
THCA	ZNF813|126017	1	mod6	-0.554173377453897	9.58175188103201e-07	1.13810067955775e-05	0.431412339249676
THCA	ZNF254|9534	1	mod6	-0.560126183484282	9.89652764832822e-07	1.13810067955775e-05	0.430580113039078
THCA	ZNF649|65251	1	mod7	-0.904633860951702	1.60081182983991e-06	1.60711861200594e-05	0.425595544220464
THCA	ZNF304|57343	1	mod6	-0.718654229689838	1.24083394725881e-06	1.3046482645464e-05	0.424724492841868
THCA	ZNF749|388567	1	mod3	-0.987267767593327	1.01564408837778e-07	2.87505403479249e-06	0.417035895435817
THCA	ZNF678|339500	1	mod6	-0.604825506448359	1.66652425502223e-06	1.60711861200594e-05	0.417003648035064
THCA	ZNF426|79088	1	mod6	-0.525417749238505	1.78843633795397e-06	1.60711861200594e-05	0.41514124499655
THCA	ZFP28|140612	1	mod3	-0.985837182646298	1.16005177376089e-07	3.04927894817148e-06	0.4141741637331
THCA	ZNF420|147923	1	mod6	-0.576018377325089	2.2628699037537e-06	1.97186978189482e-05	0.408894285714809
THCA	ZNF543|125919	1	mod6	-0.821928100572808	2.30699347294664e-06	1.97186978189482e-05	0.408378823287215
THCA	ZNF667|63934	1	mod3	-0.537548546116497	1.57935093224943e-07	3.60340841518031e-06	0.407481070588132
THCA	ZNF776|284309	1	mod3	-0.809410227885518	2.22694460533567e-07	4.55286452646403e-06	0.399942538184997
THCA	ZNF585B|92285	1	mod3	-0.643989157969504	2.40217724720617e-07	4.65263803669406e-06	0.398268700350468
THCA	ZNF718|255403	1	mod6	-0.60837149991375	3.77880134711054e-06	2.83795693007485e-05	0.395064613239829
THCA	ZNF793|390927	1	mod3	-0.78553323011566	2.82583718079051e-07	4.95194325014718e-06	0.394664503229986
THCA	ZNF268|10795	1	mod6	-0.536903427971654	3.95712929857035e-06	2.91244716374778e-05	0.393806367308096
THCA	ZNF264|9422	1	mod10	-0.695476930519652	3.99931806328457e-07	6.13228769703634e-06	0.39268113710211
THCA	ZNF791|163049	1	mod6	-0.429781990210271	4.15471480484654e-06	2.95785148508274e-05	0.392474192776963
THCA	ZNF354C|30832	1	mod6	-0.369196943956418	6.67092640922038e-06	4.23258779067776e-05	0.379386618827224
THCA	ZNF680|340252	1	mod14	-0.586145600631215	1.1451459921576e-05	5.85296840436107e-05	0.378180211568768
THCA	ZFP30|22835	1	mod6	-0.607258090004523	7.37832838341526e-06	4.45118827065052e-05	0.376567667390664
THCA	ZNF436|80818	1	mod6	-0.49585013398957	7.71745911679618e-06	4.58068541125967e-05	0.375307015700049
THCA	ZNF660|285349	1	mod6	-0.579654572132563	7.88001026103402e-06	4.60292662866749e-05	0.374721484454291
THCA	ZKSCAN1|7586	1	mod6	-0.350358901460755	8.46227260689945e-06	4.71835805960454e-05	0.372715114470118
THCA	ZNF229|7772	1	mod3	-0.560299051197563	7.96027486555827e-07	1.12354525707383e-05	0.371205189167504
THCA	ZNF157|7712	1	mod6	-0.917342009960832	9.22250845676021e-06	5.06549718222053e-05	0.37028604211661
THCA	ZNF727|442319	1	mod6	-0.489676929143661	9.48938703943832e-06	5.07355731092251e-05	0.369478678027126
THCA	ZNF347|84671	1	mod3	-0.596886746283048	9.58865927284808e-07	1.13810067955775e-05	0.366900735259118
THCA	ZNF10|7556	1	mod6	-0.830881696609956	1.10923312775419e-05	5.81892158612663e-05	0.365044605582932
THCA	ZNF382|84911	1	mod3	-1.09154709764803	1.08386448761497e-06	1.20867312558275e-05	0.36405188088859
THCA	ZNF154|7710	1	mod6	-0.57467089128042	1.20160644214071e-05	6.05741329736688e-05	0.36276117673984
THCA	ZNF699|374879	1	mod6	-0.499680467448668	1.26262362038604e-05	6.19527323069419e-05	0.361343473378292
THCA	ZNF175|7728	1	mod3	-0.630199846077862	1.21967773279741e-06	1.3046482645464e-05	0.361296058549227
THCA	ZNF778|197320	1	mod6	-0.608276347820954	1.5614971312282e-05	7.18288680364974e-05	0.355230205032879
THCA	ZNF334|55713	1	mod3	-0.514261934138156	1.6458744920325e-06	1.60711861200594e-05	0.354250763984701
THCA	ZNF432|9668	1	mod3	-0.489968711538478	1.7170522357842e-06	1.60711861200594e-05	0.353249718698961
THCA	ZNF717|100131827	1	mod6	-0.63007650190411	1.85629190552426e-05	8.43352371892505e-05	0.35021503864111
THCA	ZNF630|57232	1	mod11	-1.1240024105034	3.11185853975752e-06	2.43651902687397e-05	0.349781363992954
THCA	ZNF17|7565	1	mod2	-0.91791598876452	1.7905397579414e-06	1.60711861200594e-05	0.346982263702197
THCA	ZNF587|84914	1	mod3	-0.685247818446807	2.87221595359095e-06	2.34883437982548e-05	0.340971042907056
THCA	ZNF354B|117608	1	mod2	-0.636000532690602	2.35767039139598e-06	1.97186978189482e-05	0.340502860753466
THCA	ZNF417|147687	1	mod3	-0.647733206073819	3.00093997069864e-06	2.40075197655891e-05	0.339914916392815
THCA	ZNF214|7761	1	mod3	-0.554310733669689	3.4936884326628e-06	2.67849446504148e-05	0.336240585044466
